trades

TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL
1268518313;19.07.2011;18:44:29;URKA;EQBR;266,07;10;2660,7;;B
1268518314;19.07.2011;18:44:29;URKA;EQBR;266,09;10;2660,9;;B
1268518315;19.07.2011;18:44:29;URKA;EQBR;266,09;20;5321,8;;B
1268518316;19.07.2011;18:44:29;URKA;EQBR;266,09;90;23948,1;;B
1268518317;19.07.2011;18:44:29;URKA;EQBR;266,12;50;13306;;B
1268518318;19.07.2011;18:44:29;URKA;EQBR;266,12;500;133060;;B
1268518319;19.07.2011;18:44:29;URKA;EQBR;266,15;20;5323;;B
1268518320;19.07.2011;18:44:29;GAZP;EQNE;199,8;30;5994;;B
1268518321;19.07.2011;18:44:29;VTBR;EQNL;0,08537;50000;4268,5;;B
1268518322;19.07.2011;18:44:29;VTBR;EQNL;0,08539;4100000;350099;;B
1268518323;19.07.2011;18:44:29;PLZL;EQNL;1750;1;1750;;S
1268518324;19.07.2011;18:44:29;LKOH;EQBR;1827,1;2;3654,2;;S
1268518325;19.07.2011;18:44:29;LKOH;EQBR;1827;38;69426;;S
1268518326;19.07.2011;18:44:29;SBER03;EQBR;102,37;20;2047,4;;B
1268518327;19.07.2011;18:44:30;SBER03;EQBR;102,35;1000;102350;;S
1268518328;19.07.2011;18:44:30;URKA;EQBR;266,15;1000;266150;;B
1268518330;19.07.2011;18:44:30;RTKM;EQBR;199,65;30;5989,5;;B
1268518331;19.07.2011;18:44:30;GAZP;EQNE;199,79;10;1997,9;;B
1268518332;19.07.2011;18:44:30;GAZP;EQNE;199,8;190;37962;;B
1268518333;19.07.2011;18:44:30;GAZP;EQNE;199,8;200;39960;;B
1268518334;19.07.2011;18:44:30;MRKA;EQNL;0,11992;20000;2398,4;;S
1268518335;19.07.2011;18:44:30;MRKA;EQNL;0,11992;10000;1199,2;;S
1268518336;19.07.2011;18:44:30;MRKA;EQNL;0,11992;10000;1199,2;;S
1268518337;19.07.2011;18:44:30;MRKA;EQNL;0,11991;10000;1199,1;;S
1268518338;19.07.2011;18:44:30;MRKA;EQNL;0,11991;100000;11991;;S
1268518339;19.07.2011;18:44:30;MRKA;EQNL;0,1199;100000;11990;;S
1268518340;19.07.2011;18:44:30;MRKA;EQNL;0,11989;60000;7193,4;;S
1268518341;19.07.2011;18:44:30;MRKA;EQNL;0,11988;40000;4795,2;;S
1268518342;19.07.2011;18:44:30;MRKA;EQNL;0,11974;60000;7184,4;;S
1268518343;19.07.2011;18:44:30;MRKA;EQNL;0,11974;60000;7184,4;;S
1268518344;19.07.2011;18:44:30;MRKA;EQNL;0,11973;120000;14367,6;;S
1268518345;19.07.2011;18:44:30;MRKA;EQNL;0,11973;60000;7183,8;;S
1268518346;19.07.2011;18:44:30;MRKA;EQNL;0,11972;100000;11972;;S
1268518347;19.07.2011;18:44:30;MRKA;EQNL;0,11972;100000;11972;;S
1268518348;19.07.2011;18:44:30;MRKA;EQNL;0,11971;450000;53869,5;;S
1268518349;19.07.2011;18:44:30;MRKA;EQNL;0,11971;3700000;442927;;S
1268518350;19.07.2011;18:44:30;RTKM;EQBR;199,51;100;19951;;S
